Team,City,Country,Stadium,Capacity,Pitch
Newcastle,Newcastle upon Tyne,England,St. James' Park,52389,Natural
Port Vale,Stoke-on-Trent,England,Vale Park,19052,Natural
AFC Bournemouth,Bournemouth,England,Vitality Stadium,12000,Natural
Leeds United,Leeds,England,Elland Road,40204,Natural
Plymouth Argyle,Plymouth,England,Home Park,19500,Natural
Middlesbrough,Middlesbrough,England,Riverside Stadium,34988,Natural
Brighton Hove Alb.,Brighton,England,The American Express Community Stadium,30750,Natural
Barnsley,Barnsley,England,Oakwell Stadium,23009,Natural
Stoke City,Stoke-on-Trent,England,bet365 Stadium,28383,Natural
Oldham Athletic,Oldham,England,Boundary Park,13512,
Leicester,Leicester,England,King Power Stadium,32500,Natural
Bradford City,Bradford,England,Coral Windows Stadium,25136,Natural
Hull City,Kingston upon Hull,England,Kingston Communications Stadium,25504,Natural
Portsmouth,Portsmouth,England,Fratton Park,20821,Natural
Wolves,Wolverhampton,England,Molineux Stadium,29195,Natural
Swindon Town,Swindon,England,County Ground,15728,Natural
Oxford United,Oxford,England,The Kassam Stadium,12500,Natural
West Bromwich Alb.,West Bromwich,England,The Hawthorns,28003,Natural
Bristol City,Bristol,England,Ashton Gate Stadium,21497,Natural
Sheffield,Sheffield,England,Hillsborough Stadium,39814,Natural
Notts County,Nottingham,England,Meadow Lane Stadium,19588,Natural
Millwall,Londres,England,The Den,20146,Natural
Bristol Rovers,Bristol,England,Memorial Stadium,11916,Natural
Charlton Athletic,Londres,England,The Valley,27111,Natural
Cambridge United,Cambridge,England,The R Costings Abbey Stadium,10847,Natural
Tranmere Rovers,Wirral,England,Prenton Park,16587,Natural
Derby County,Derby,England,iPro Stadium,33597,Natural
Grimsby Town,Grimsby,England,Blundell Park,9546,Grass
Southend United,Southend-on-Sea,England,Roots Hall Stadium,12392,Natural
Birmingham City,Birmingham,England,St. Andrew's Stadium,30009,Natural
Peterborough,Peterborough,England,London Road Stadium,15142,Natural
Brentford,Brentford,England,Griffin Park,12763,Natural
Luton Town,Luton,England,Kenilworth Road Stadium,"10,356",Grass
Crystal Palace,Londres,England,Selhurst Park,26309,Natural
Nottingham Forest,Nottingham,England,The City Ground,30576,Natural
Bolton Wanderers,Bolton,England,Reebok Stadium,28723,Natural
Oxford City,Oxford,England,Court Place Farm,2000,Natural
Reading,Reading,England,Madejski Stadium,24200,Natural
Burnley,Burnley,England,Turf Moor,22546,Natural
Norwich City,Norwich,England,Carrow Road,27033,Natural
Huddersfield Town,Huddersfield,England,The John Smith's Stadium,24554,Natural
Queens Park Range.,Londres,England,Loftus Road,19100,Natural
Man. City,Mánchester,England,Etihad Stadium,55097,Natural
Crewe Alexandra,Crewe,England,Alexandra Stadium,10153,Natural
Bury,Greater Manchester,England,,12500,
Stockport County,Cheshire,England,Edgeley Park,10852,Natural
Fulham,Londres,England,Craven Cottage,25700,Natural
Walsall,Walsall,England,The Banks's Stadium,11300,Natural
Preston North End,Preston,England,Deepdale Stadium,23408,Natural
Wimbledon FC,London,England,,"15,876",Grass
Gillingham,Gillingham,England,KRBS Priestfield Stadium,11582,Natural
Coventry City,Coventry,England,City of Coventry Stadium,32609,Natural
Rotherham United,Rotherham,England,New York Stadium,12021,Natural
Cardiff City,Cardiff,England,Cardiff City Stadium,28016,Natural
Wigan Athletic,Wigan,England,The DW Stadium,25138,Natural
Swansea City,Swansea,England,Liberty Stadium,20769,Natural
Wycombe Wanderers,Wycombe,England,Adams Park,10000,Natural
MVV Maastricht,Maastricht,Netherlands,Stadion De Geusselt,10000,Natural
FC Eindhoven,Eindhoven,Netherlands,Jan Louwers Stadion,5400,Natural
Emmen,Emmen,Netherlands,Univé Stadion,8600,Natural
Go Ahead Eagles,Deventer,Netherlands,De Adelaarshorst,10000,Natural
TOP Oss,Oss,Netherlands,Frans Heesen Stadion,4700,Natural
Dordrecht,Dordrecht,Netherlands,GN Bouw Stadion,4088,Césped Artificial
BV Veendam ,Veendam,Netherlands,,"6,500",
Heracles,Almelo,Netherlands,Polman Stadion,8500,Césped Artificial
ADO Den Haag,La Haya,Netherlands,Kyocera Stadion,15000,Natural
Cambuur,Leeuwarden,Netherlands,Cambuurstadion,10000,Natural
VVV Venlo,Venlo,Netherlands,Seacon Stadion De Koel,8000,Natural
SC Telstar,Velsen,Netherlands,TATA Steel Stadion,3625,Natural
Helmond Sport,Helmond,Netherlands,Lavans Stadion,4142,Natural
HFC Haarlem ,Haarlem,Netherlands,,"3,442",grass
Den Bosch,Hertogenbosch,Netherlands,BrainWash Stadion De Vliert,9000,Natural
RBC Roosendaal,Roosendaal,Netherlands,,4664,
PEC Zwolle,Zwolle,Netherlands,IJsseldelta Stadion,12500,Césped Artificial
Excelsior,Rótterdam,Netherlands,Stadion Woudestein,3541,Césped Artificial
AZ Alkmaar,Alkmaar,Netherlands,AFAS Stadion,17023,Natural
Groningen,Groninga,Netherlands,Euroborg,22579,Natural
FC Volendam,Volendam,Netherlands,Kras Stadion,6984,Natural
NAC Breda,Breda,Netherlands,Rat Verlegh Stadion,19000,Natural
Fortuna Sittard,Sittard,Netherlands,Offermans Joosten stadion,12500,Natural
Sparta Rotterdam,Rótterdam,Netherlands,Sparta-Stadion Het Kasteel,11026,Natural
AGOVV Apeldoorn,Apeldoorn,Netherlands,,3259,
De Graafschap,Doetinchem,Netherlands,Stadion De Vijverberg,12600,Natural
FC Omniworld,Almere,Netherlands,,"4,501",Grass
RKC Waalwijk,Waalwijk,Netherlands,Mandemakers Stadion,7508,Natural
Almere City,Almere,Netherlands,Mitsubishi Forklift-Stadion,2500,Césped Artificial
Willem II,Tilburgo,Netherlands,Koning Willem II Stadion,14637,Natural
Jong Twente,Enschede,Netherlands,,"30,205",Grass
Jong Ajax,Amsterdam,Netherlands,Sportpark De Toekomst,5000,Natural
Achilles 29,Groesbeek,Netherlands,Sportpark De Heikant,4500,Natural
Jong PSV,Eindhoven,Netherlands,Sportcomplex De Herdgang,2500,Natural
Jong AZ,Alkmaar,Netherlands,,1000,
Roda JC,Kerkrade,Netherlands,Parkstad Limburg Stadion,19979,Natural
NEC Nijmegen,Nijmegen,Netherlands,Goffertstadion,12500,Natural
Jong Utrecht,Utrecht,Netherlands,,450,
Ajax,Ámsterdam,Netherlands,Johan Cruyff Arena,53052,Natural
Utrecht,Utrecht,Netherlands,Stadion Galgenwaard,24426,Natural
Twente 1965,Enschede,Netherlands,De Grolsch Veste,30014,Natural
PSV,Eindhoven,Netherlands,Philips Stadion,35119,Natural
Vitesse,Arnhem,Netherlands,GelreDome,28278,Natural
Feyenoord,Rótterdam,Netherlands,Stadion Feijenoord,51777,Natural
SVV,Schiedam,Netherlands,Stadion Harga,4000,
Heerenveen,Heerenveen,Netherlands,Abe Lenstra Stadion,26800,Natural
